DISTRICT_NAME,Crop_Year,Area,Production,K,N,P,temperature,humidity,ph,rainfall,season
BAGALKOT,2001,171,2050,42,33,25,27.09173588,71.46366541,6.496218274,251.1992147,Kharif
BAGALKOT,2010,121,2050,58,32,10,28.62033744,88.3526497,6.052091538,143.8429575,Kharif
BAGALKOT,2009,133,2050,55,33,12,26.4096802,89.19453931,7.187390752,464.6650413,Kharif
BAGALKOT,2005,126,2050,46,34,20,25.90562119,64.89941304,7.175435089,379.7513357,Kharif
BAGALKOT,2006,117,2050,52,37,11,33.04390637,73.81429516,6.450004724,387.8580587,Kharif
BAGALKOT,1998,197,2050,56,39,5,26.75694977,84.14770492,6.656588802,246.28965,Kharif
BAGALKOT,2000,171,2050,47,41,12,34.56871716,85.96945681,6.042829282,387.0176947,Kharif
BAGALKOT,2000,171,2050,55,31,14,27.36398921,77.83530969,6.704963338,423.5757588,Kharif
BAGALKOT,2000,171,2050,60,34,6,32.41066224,65.34480942,7.452087462,378.473842,Kharif
BAGALKOT,2008,87,2050,54,41,5,27.39191807,63.3546224,6.113941671,117.3776301,Kharif
BAGALKOT,2011,79,2050,41,52,7,26.00248715,73.22299178,6.954016109,127.7827829,Kharif
BAGALKOT,2002,112,50,49,42,9,25.45795188,81.85428896,7.241799072,241.4073518,Kharif
BAGALKOT,2002,112,50,48,39,13,26.1911459,67.96259246,7.372010954,100.0628893,Kharif
BAGALKOT,2002,112,125,57,36,7,28.21381551,78.34658479,6.450182674,441.5698008,Kharif
BAGALKOT,2003,93,125,48,41,11,30.07757085,63.47280868,7.085346393,347.8971108,Kharif
BAGALKOT,2007,68,125,57,30,13,27.36445275,86.48696579,6.496640538,414.0014619,Kharif
BAGALKOT,1999,128,125,56,32,12,29.69100615,85.21855458,6.323428372,312.1696911,Kharif
BAGALKOT,2004,64,125,51,43,6,31.29205168,61.72565827,6.841945636,221.7316692,Kharif
BAGALKOT,2013,54,125,47,38,15,31.21912693,60.44679889,6.735037278,287.9581613,Kharif
BAGALKOT,2012,49,125,56,33,11,27.0148318,78.73984805,6.644088302,347.8086016,Kharif
BAGALKOT,2014,25,76,51,41,8,27.74721654,65.00258933,6.168399842,396.2873712,Kharif
BAGALKOT,2005,63,196,57,33,10,23.24113501,84.59201843,7.782051313,233.0453455,Rabi
BAGALKOT,2010,23,74,51,42,7,21.66628296,80.70960551,7.062779015,210.8142087,Rabi
BAGALKOT,2011,6,20,51,39,10,24.63544858,80.41363018,7.730367824,253.7202781,Rabi
BAGALKOT,2001,13,19,41,44,15,26.31355498,82.36698992,7.224285503,265.5355937,Rabi
